Question ID,Local Start Time,Local Start Timestamp,Question Start Time,Response Time,Selected Option,Result
session2_1,2023-11-07 17:04:29,1699376669,00:01:39,00:01:41,Yes,Correct!
session2_2,2023-11-07 17:04:43,1699376683,00:01:54,00:01:56,Yes,Correct!
session2_3,2023-11-07 17:04:59,1699376699,00:02:10,00:02:12,No,Correct!
session2_4,2023-11-07 17:05:14,1699376714,00:02:25,00:02:27,No,Correct!
session2_5,2023-11-07 17:05:30,1699376730,00:02:40,00:02:42,Yes,Correct!
session2_6,2023-11-07 17:05:44,1699376744,00:02:55,00:02:58,No,Correct!
session3_1,2023-11-07 17:06:04,1699376764,00:03:14,00:03:16,7,Correct!
session3_2,2023-11-07 17:06:19,1699376779,00:03:30,00:03:32,4,Correct
session3_3,2023-11-07 17:06:35,1699376795,00:03:46,00:03:48,"7,5",Correct
session3_4,2023-11-07 17:06:51,1699376811,00:04:02,00:04:04,6,Correct
session3_5,2023-11-07 17:07:06,1699376826,00:04:17,00:04:20,"4,2",Correct
session3_6,2023-11-07 17:07:23,1699376843,00:04:34,00:04:40,"3,5",Correct
session3_7,2023-11-07 17:07:42,1699376862,00:04:53,00:04:56,9,Wrong
session3_8,2023-11-07 17:07:59,1699376879,00:05:10,00:05:17,"7,3,2",Correct
session3_9,2023-11-07 17:08:20,1699376900,00:05:31,00:05:35,"2,3",Wrong
session3_10,2023-11-07 17:08:37,1699376917,00:05:48,00:05:52,"2,2",Wrong
session3_11,2023-11-07 17:08:54,1699376934,00:06:05,00:06:12,9,Wrong
session3_12,2023-11-07 17:09:14,1699376954,00:06:25,00:06:30,5,Correct
session4_1,2023-11-07 17:09:34,1699376974,00:06:44,00:06:46,7,Correct
session4_2,2023-11-07 17:09:48,1699376988,00:06:58,00:07:00,8,Correct
session4_3,2023-11-07 17:10:03,1699377003,00:07:13,00:07:18,8,Correct
session4_4,2023-11-07 17:10:20,1699377020,00:07:31,00:07:34,"0,4",Correct
session4_5,2023-11-07 17:10:38,1699377038,00:07:48,00:07:50,"9,6",Correct
session4_6,2023-11-07 17:10:53,1699377053,00:08:04,00:08:11,"6,3,9",Correct
session4_7,2023-11-07 17:11:14,1699377074,00:08:25,00:08:29,"8,9,1",Correct
session4_8,2023-11-07 17:11:33,1699377093,00:08:43,00:08:48,"8,9,1",Wrong
session4_9,2023-11-07 17:11:50,1699377110,00:09:01,00:09:05,3,Wrong
session4_10,2023-11-07 17:12:08,1699377128,00:09:18,00:09:24,8,Correct
session4_11,2023-11-07 17:12:26,1699377146,00:09:37,00:09:45,"3,6,5",Correct
session4_12,2023-11-07 17:12:48,1699377168,00:09:59,00:10:05,"3,5,2",Wrong
