name,path,case,prefix,case_id,sample_set,energy_features
A10_case1_2_sample_9_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case1\A10\case1_2\sample_sample\A10_case1_2_sample_9_2_resampled.wav,case1,case1_2,sample_sample,case1,4.302861512728896
E5_case3_4_sample_23_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case3\E5\case3_4\sample_sample\E5_case3_4_sample_23_1_resampled.wav,case3,case3_4,sample_sample,case3,122.6003931126962
A4_case2_3_sample_15_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case2\A4\case2_3\sample_sample\A4_case2_3_sample_15_2_resampled.wav,case2,case2_3,sample_sample,case2,396.91404002452936
E2_case3_11_sample_64_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case3\E2\case3_11\sample_sample\E2_case3_11_sample_64_2_resampled.wav,case3,case3_11,sample_sample,case3,336.2513519757757
E2_case1_2_sample_11_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case1\E2\case1_2\sample_sample\E2_case1_2_sample_11_2_resampled.wav,case1,case1_2,sample_sample,case1,0.29959942318760113
E9_case1_1_sample_10_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case1\E9\case1_1\sample_sample\E9_case1_1_sample_10_2_resampled.wav,case1,case1_1,sample_sample,case1,0.16816227154333774
A2_case1_1_sample_4_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case1\A2\case1_1\sample_sample\A2_case1_1_sample_4_1_resampled.wav,case1,case1_1,sample_sample,case1,0.72611340714991
A2_case3_10_sample_55_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case3\A2\case3_10\sample_sample\A2_case3_10_sample_55_1_resampled.wav,case3,case3_10,sample_sample,case3,812.1392575888749
E7_case4_2_sample_7_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case4\E7\case4_2\sample_sample\E7_case4_2_sample_7_2_resampled.wav,case4,case4_2,sample_sample,case4,576.8712602348108
A5_case3_5_sample_28_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case3\A5\case3_5\sample_sample\A5_case3_5_sample_28_2_resampled.wav,case3,case3_5,sample_sample,case3,443.95716060188204
A8_case4_7_sample_37_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case4\A8\case4_7\sample_sample\A8_case4_7_sample_37_2_resampled.wav,case4,case4_7,sample_sample,case4,289.1842463925337
A4_case1_1_sample_11_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case1\A4\case1_1\sample_sample\A4_case1_1_sample_11_2_resampled.wav,case1,case1_1,sample_sample,case1,1.8251741285525327
A1_case4_2_sample_12_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case4\A1\case4_2\sample_sample\A1_case4_2_sample_12_2_resampled.wav,case4,case4_2,sample_sample,case4,145.88616519376686
E11_case4_2_sample_9_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case4\E11\case4_2\sample_sample\E11_case4_2_sample_9_2_resampled.wav,case4,case4_2,sample_sample,case4,175.41404677815788
E11_case2_3_sample_16_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case2\E11\case2_3\sample_sample\E11_case2_3_sample_16_2_resampled.wav,case2,case2_3,sample_sample,case2,175.48477581647526
A6_case3_10_sample_60_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case3\A6\case3_10\sample_sample\A6_case3_10_sample_60_1_resampled.wav,case3,case3_10,sample_sample,case3,533.9745580735372
A8_case2_2_sample_12_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case2\A8\case2_2\sample_sample\A8_case2_2_sample_12_1_resampled.wav,case2,case2_2,sample_sample,case2,2256.9740465176283
E9_case4_5_sample_26_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case4\E9\case4_5\sample_sample\E9_case4_5_sample_26_2_resampled.wav,case4,case4_5,sample_sample,case4,129.3435399810921
E7_case4_4_sample_21_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case4\E7\case4_4\sample_sample\E7_case4_4_sample_21_1_resampled.wav,case4,case4_4,sample_sample,case4,1440.8340990845782
A1_case1_2_sample_11_2,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case1\A1\case1_2\sample_sample\A1_case1_2_sample_11_2_resampled.wav,case1,case1_2,sample_sample,case1,0.6783183740202503
E11_case2_1_sample_4_1,data_2k3k_nobandpass_organized_withoutA3A7_dataset\case2\E11\case2_1\sample_sample\E11_case2_1_sample_4_1_resampled.wav,case2,case2_1,sample_sample,case2,291.56515631314113
